"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000260802",352.217779591539,1.79041666108301,0.259644499142939,6.89564642036707,5.36204122004969e-12,3.60650892460542e-08
"ENSG00000141753",1005.36277308055,1.06511871147252,0.213913415314506,4.97920483344408,6.38460432282427e-07,0.0021471424337658
"ENSG00000080709",151.721432322865,-1.39317850560209,0.290908597492036,-4.78905923583172,1.67565016426642e-06,0.00348826627782046
"ENSG00000112379",1225.96069521652,-1.0165586845191,0.214191449129614,-4.74602832489336,2.07449674565594e-06,0.00348826627782046
"ENSG00000197956",382.769490214201,1.08630169959648,0.234876757379306,4.62498593610178,3.74623819305915e-06,0.00503943961730317
"ENSG00000064651",582.938022170355,-1.09370373007992,0.248177679926569,-4.40693832903719,1.0484202287723e-05,0.00881459307340311
"ENSG00000137673",568.670148975671,1.49954681875172,0.337831136880915,4.43874662530087,9.04842607559751e-06,0.00881459307340311
"ENSG00000187398",179.360215469883,-1.40443154772816,0.316764215015672,-4.43368120877755,9.2637575510364e-06,0.00881459307340311
"ENSG00000049759",1825.88767836883,-0.89519915524073,0.210152852665193,-4.25975257479339,2.04653322033674e-05,0.0107195866139004
"ENSG00000054690",1285.93442728543,-1.12168683023505,0.260989591925632,-4.29782207772742,1.7248452572934e-05,0.0107195866139004
"ENSG00000124406",303.492557189392,-1.10091451172166,0.259495804956267,-4.24251371580825,2.21030028224651e-05,0.0107195866139004
"ENSG00000139116",288.305883441427,-1.10043092397039,0.259511339708678,-4.24039629715492,2.23125501924777e-05,0.0107195866139004
"ENSG00000157214",2286.33549595393,-1.06930019185724,0.247583137605741,-4.31895403781505,1.56770423712402e-05,0.0107195866139004
"ENSG00000185499",104.193590008827,1.52425116383521,0.35913276319613,4.24425538419281,2.19320464092175e-05,0.0107195866139004
"ENSG00000099194",752.867957975323,-1.11710351685453,0.273858676388264,-4.07912406350331,4.52057086652124e-05,0.0198774126281853
"ENSG00000152377",2346.84918458364,-1.02277525451824,0.251379098297229,-4.06865670792135,4.728495421513e-05,0.0198774126281853
"ENSG00000131844",1013.65833128334,-1.00970491194066,0.252101192457073,-4.00515722317572,6.19762455100115e-05,0.0239856249117649
"ENSG00000269936",628.566448829724,1.15817225386427,0.289770977586823,3.99685387235597,6.41898971768908e-05,0.0239856249117649
"ENSG00000184678",528.519728253467,-1.14062506466288,0.286591655694074,-3.97996606670381,6.89251059914063e-05,0.0243994875209578
"ENSG00000076706",360.737902879665,1.03749499083594,0.262680445051322,3.94964684422259,7.82665835451434e-05,0.0263210520462317
"ENSG00000127418",502.255091795122,-0.999590091346738,0.254655239192893,-3.92526811745498,8.66331889825015e-05,0.0277473728141098
"ENSG00000096006",1899.59683070287,-1.1400734487983,0.292677060534671,-3.8953290248152,9.8065517501838e-05,0.0279636749704679
"ENSG00000138696",499.972384302128,-0.962670706758274,0.246846373277012,-3.89987786321641,9.62412258749007e-05,0.0279636749704679
"ENSG00000146070",329.917734873209,-1.19081926571215,0.306746797994872,-3.88209191912105,0.000103561714415241,0.0279636749704679
"ENSG00000169710",2665.46226664455,-1.03784750428758,0.267403189478835,-3.88120839661759,0.000103938726473639,0.0279636749704679
"ENSG00000132386",343.688179787449,0.912584084572958,0.242619875504536,3.76137397101211,0.000168982559227745,0.0380895126247756
"ENSG00000134755",291.370287673754,-1.00567074376915,0.268673804050006,-3.74309191521319,0.000181769700208396,0.0380895126247756
"ENSG00000152270",208.750793468426,-1.01872756410827,0.272767693456008,-3.73478087232704,0.000187878703927844,0.0380895126247756
"ENSG00000157911",212.482733966187,-1.08493435578981,0.285901038887743,-3.79478983361022,0.000147768573280102,0.0380895126247756
"ENSG00000167757",486.151398298568,-1.1673730821275,0.311978967030723,-3.74183264095665,0.000182683163948246,0.0380895126247756
"ENSG00000210144",168.562972587604,1.18040550819746,0.316581024757678,3.72860473586812,0.000192542882730058,0.0380895126247756
"ENSG00000210194",265.540776931966,1.42195812164185,0.380587289890226,3.73622072889505,0.000186806704603112,0.0380895126247756
"ENSG00000230937",145.81082414064,1.29446064001651,0.346246120128966,3.73855637583567,0.000185079992307235,0.0380895126247756
"ENSG00000273179",200.747677445387,-1.40361998342636,0.375285787300749,-3.74013626660878,0.000183920519372501,0.0380895126247756
"ENSG00000157110",474.392854318024,0.934936049906557,0.251861993775258,3.71209659660211,0.000205549506353671,0.039500742278137
"ENSG00000049089",487.041161736864,-0.905109192194669,0.245788101563021,-3.68247765631811,0.000230978117797233,0.0431544116751164
"ENSG00000086205",1444.47387814427,-0.98598709793385,0.269139482050671,-3.66347995627121,0.000248811694611061,0.0432877360493692
"ENSG00000168280",721.182673798949,-0.90946005501876,0.247555159770342,-3.6737673165951,0.000239000390916672,0.0432877360493692
"ENSG00000182718",389.525685863652,0.916380951808535,0.250292640837499,3.66123809610323,0.000250999361570829,0.0432877360493692
"ENSG00000118849",187.408663080009,1.39896766341255,0.382894942196569,3.65365929199022,0.000258529274593615,0.0434716975229163
"ENSG00000249669",233.51379454187,1.08814903143348,0.301318884722575,3.61128719972311,0.000304681027934232,0.0499825510703816
"ENSG00000087245",526.021425485217,0.855008523531503,0.237576810869264,3.59887196230614,0.000319600483758367,0.0511817346133042
"ENSG00000198467",1965.60249333437,1.03169563786421,0.288937231592842,3.57065661692928,0.000356087462869444,0.0556987040758111
"ENSG00000012660",1413.86119163965,-0.848775515133216,0.238314256353379,-3.56158094828633,0.000368628416889088,0.0563498802726366
"ENSG00000163618",136.335780688985,-1.38356629119574,0.391305234430011,-3.53577251071299,0.000406584654359409,0.0607708530049197
"ENSG00000163431",806.211741717313,0.989804523417256,0.280739984251519,3.52569843606771,0.000422367619091624,0.0608685406073684
"ENSG00000196353",832.805263244297,-0.801451337758855,0.227436793402781,-3.52384205637088,0.000425337705701207,0.0608685406073684
